row_index,membership_probability,description,baseline_comparison,proto,service,state,label,attack_cat,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,ct_src_dport_ltm,ct_dst_ltm,ct_dst_src_ltm,tcprtt,synack,ackdat
52,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=udp, service=-, state=int",smean is higher than clustered baseline; sbytes_per_pkt is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline,udp,-,INT,0,Normal,4e-06,2,0,2036,0,250000.0006,254,0,2,2,7,0.0,0.0,0.0
53,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=pri-enc, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,pri-enc,-,INT,1,DoS,9e-06,2,0,200,0,111111.1072,254,0,3,3,5,0.0,0.0,0.0
54,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=req",dur is higher than clustered baseline; pkt_ratio_sd is higher than clustered baseline; sinpkt is higher than clustered baseline,tcp,-,REQ,0,Normal,11.666516,8,0,360,0,0.600008,254,0,1,10,18,0.0,0.0,0.0
55,0.0,"unusually high source TTL; strongly source-heavy packet imbalance; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=req",dur is higher than clustered baseline; pkt_ratio_sd is higher than clustered baseline; sinpkt is higher than clustered baseline,tcp,-,REQ,0,Normal,9.859676,12,0,540,0,1.115655,254,0,2,12,11,0.0,0.0,0.0
58,0.0,"extremely high destination-byte volume; very high source packet count; very high destination packet count; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",dur is higher than clustered baseline; dloss is higher than clustered baseline; dmean is higher than clustered baseline,tcp,-,FIN,0,Normal,13.671029,244,438,13974,548216,49.813368,31,29,2,3,2,0.001211,0.001058,0.000153
63,0.0,"unusually high destination TTL; abnormally high TCP round-trip timing; slow SYN-ACK timing; slow ACK/data timing; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=con",synack is higher than clustered baseline; tcprtt is higher than clustered baseline; ackdat is higher than clustered baseline,tcp,-,CON,0,Normal,0.415321,6,2,986,86,16.854433,62,252,2,2,4,0.379995,0.227951,0.152044
71,0.0,"unusually high source TTL; strongly source-heavy packet imbalance; strongly source-heavy byte imbalance. Context: protocol=ospf, service=-, state=int",pkt_ratio_sd is higher than clustered baseline; dur is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline,ospf,-,INT,1,Fuzzers,5.052801,42,0,2688,0,8.114311,254,0,1,1,1,0.0,0.0,0.0
75,0.0,"strongly source-heavy byte imbalance. Context: protocol=arp, service=-, state=int",sinpkt is higher than clustered baseline; sload is lower than clustered baseline; sttl is lower than clustered baseline,arp,-,INT,0,Normal,0.0,1,0,46,0,0.0,0,0,2,2,2,0.0,0.0,0.0
76,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=any, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,any,-,INT,1,Exploits,9e-06,2,0,200,0,111111.1072,254,0,3,4,16,0.0,0.0,0.0
79,0.0,"strongly source-heavy byte imbalance. Context: protocol=arp, service=-, state=int",sinpkt is higher than clustered baseline; sload is lower than clustered baseline; sttl is lower than clustered baseline,arp,-,INT,0,Normal,0.0,1,0,46,0,0.0,0,0,2,2,2,0.0,0.0,0.0
84,0.0,"extremely high destination-byte volume; very high source packet count; very high destination packet count; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=http, state=fin",response_body_len is higher than clustered baseline; dmean is higher than clustered baseline; dloss is higher than clustered baseline,tcp,http,FIN,0,Normal,4.983905,364,746,19410,1087890,222.516287,31,29,1,2,2,0.000657,0.00053,0.000127
89,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=vmtp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,vmtp,-,INT,1,Analysis,9e-06,2,0,200,0,111111.1072,254,0,5,6,17,0.0,0.0,0.0
98,0.0,"strongly source-heavy byte imbalance. Context: protocol=arp, service=-, state=int",sinpkt is higher than clustered baseline; sload is lower than clustered baseline; sttl is lower than clustered baseline,arp,-,INT,0,Normal,0.0,1,0,46,0,0.0,0,0,2,2,2,0.0,0.0,0.0
102,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=visa, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,visa,-,INT,1,Exploits,4e-06,2,0,200,0,250000.0006,254,0,3,3,7,0.0,0.0,0.0
104,0.0,"unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",djit is higher than clustered baseline; dtcpb is higher than clustered baseline; dloss is higher than clustered baseline,tcp,-,FIN,1,Exploits,0.944215,18,24,1004,12226,43.422314,62,252,1,1,1,0.123386,0.064746,0.05864
106,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=sep, service=-, state=int",state_int is higher than clustered baseline; service_- is higher than clustered baseline; dbytes_per_pkt is lower than clustered baseline,sep,-,INT,1,Exploits,9e-06,2,0,104,0,111111.1072,254,0,1,1,1,0.0,0.0,0.0
111,0.0,"unusually high source TTL. Context: protocol=sctp, service=-, state=con",dur is higher than clustered baseline; state_con is higher than clustered baseline; sinpkt is higher than clustered baseline,sctp,-,CON,1,Fuzzers,3.303271,4,4,840,880,2.119112,254,60,1,1,1,0.0,0.0,0.0
122,0.0,"unusually high source TTL. Context: protocol=udp, service=-, state=con",state_con is higher than clustered baseline; dmean is higher than clustered baseline; smean is higher than clustered baseline,udp,-,CON,1,DoS,0.224355,4,2,2130,1518,22.286109,254,60,1,1,1,0.0,0.0,0.0
129,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=visa, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,visa,-,INT,1,DoS,4e-06,2,0,200,0,250000.0006,254,0,3,3,7,0.0,0.0,0.0
131,0.0,"unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",ackdat is higher than clustered baseline; dmean is higher than clustered baseline; tcprtt is higher than clustered baseline,tcp,-,FIN,1,Exploits,2.325358,22,44,1176,40006,27.952686,62,252,1,1,1,0.218884,0.085492,0.133392
144,0.0,"extremely high source-byte volume; very high source packet count; unusually high source TTL; unusually high destination TTL; slow SYN-ACK timing; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",smean is higher than clustered baseline; sloss is higher than clustered baseline; synack is higher than clustered baseline,tcp,-,FIN,1,Fuzzers,2.350397,160,28,199639,1214,79.561024,254,252,1,1,1,0.244699,0.16481,0.079889
155,0.0,"unusually high source TTL; unusually high destination TTL; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",smean is higher than clustered baseline; sloss is higher than clustered baseline; sbytes is higher than clustered baseline,tcp,-,FIN,1,Fuzzers,0.642225,32,14,30082,764,70.068898,254,252,2,2,5,0.106732,0.051765,0.054967
165,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=wb-mon, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,wb-mon,-,INT,1,Exploits,1e-05,2,0,200,0,100000.0025,254,0,2,2,4,0.0,0.0,0.0
169,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=ssh, state=fin",sloss is higher than clustered baseline; sttl is lower than clustered baseline; dloss is higher than clustered baseline,tcp,ssh,FIN,0,Normal,0.226816,32,24,3728,5474,242.487304,31,29,1,1,3,0.000702,0.00056,0.000142
172,0.0,"strongly source-heavy byte imbalance. Context: protocol=arp, service=-, state=int",sinpkt is higher than clustered baseline; sload is lower than clustered baseline; sttl is lower than clustered baseline,arp,-,INT,0,Normal,0.0,1,0,46,0,0.0,0,0,1,1,1,0.0,0.0,0.0
180,0.0,"unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=pop3, state=fin",dmean is higher than clustered baseline; ackdat is higher than clustered baseline; tcprtt is higher than clustered baseline,tcp,pop3,FIN,1,Exploits,2.067376,26,66,1206,65472,44.017152,62,252,1,1,1,0.25224,0.119003,0.133237
183,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=irtp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,irtp,-,INT,1,Exploits,8e-06,2,0,200,0,125000.0003,254,0,1,1,7,0.0,0.0,0.0
186,0.0,"unusually long-lived connection; unusually high source TTL; strongly source-heavy packet imbalance; strongly source-heavy byte imbalance. Context: protocol=ospf, service=-, state=req",dur is higher than clustered baseline; pkt_ratio_sd is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline,ospf,-,REQ,1,Reconnaissance,57.889004,60,0,16320,0,1.019192,254,0,1,1,1,0.0,0.0,0.0
197,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=ssh, state=fin",sloss is higher than clustered baseline; sttl is lower than clustered baseline; dloss is higher than clustered baseline,tcp,ssh,FIN,0,Normal,0.005924,32,24,3728,5474,9284.267482,31,29,1,6,1,0.000679,0.000566,0.000113
200,0.0,"unusually high destination TTL; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=con",state_con is higher than clustered baseline; synack is higher than clustered baseline; tcprtt is higher than clustered baseline,tcp,-,CON,0,Normal,0.282777,6,2,986,86,24.754488,62,252,3,7,9,0.247786,0.137459,0.110327
213,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=sat-expak, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,sat-expak,-,INT,1,DoS,9e-06,2,0,200,0,111111.1072,254,0,2,3,13,0.0,0.0,0.0
227,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=sprite-rpc, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,sprite-rpc,-,INT,1,Backdoor,9e-06,2,0,200,0,111111.1072,254,0,2,2,4,0.0,0.0,0.0
230,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=iso-ip, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,iso-ip,-,INT,1,DoS,9e-06,2,0,200,0,111111.1072,254,0,2,2,4,0.0,0.0,0.0
232,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=crudp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,crudp,-,INT,1,DoS,4e-06,2,0,200,0,250000.0006,254,0,5,6,17,0.0,0.0,0.0
235,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=ssh, state=fin",stcpb is higher than clustered baseline; dtcpb is higher than clustered baseline; sloss is higher than clustered baseline,tcp,ssh,FIN,0,Normal,0.007968,32,26,3728,5578,7153.614335,31,29,1,4,2,0.001323,0.001166,0.000157
240,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=ssh, state=fin",dtcpb is higher than clustered baseline; sloss is higher than clustered baseline; sttl is lower than clustered baseline,tcp,ssh,FIN,0,Normal,0.333839,32,24,3728,5474,164.750074,31,29,1,2,5,0.000753,0.000625,0.000128
253,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=3pc, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,3pc,-,INT,1,Exploits,8e-06,2,0,200,0,125000.0003,254,0,1,1,4,0.0,0.0,0.0
254,0.0,"unusually long-lived connection; unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=udp, service=-, state=int",dur is higher than clustered baseline; sinpkt is higher than clustered baseline; pkt_ratio_sd is higher than clustered baseline,udp,-,INT,1,Fuzzers,54.847008,4,0,2128,0,0.054698,254,0,1,2,2,0.0,0.0,0.0
256,0.0,"unusually high source TTL. Context: protocol=sctp, service=-, state=con",state_con is higher than clustered baseline; sinpkt is higher than clustered baseline; service_- is higher than clustered baseline,sctp,-,CON,1,Exploits,1.227135,4,2,568,432,4.074532,254,60,2,2,2,0.0,0.0,0.0
262,0.0,"unusually high destination TTL; abnormally high TCP round-trip timing; slow SYN-ACK timing; slow ACK/data timing; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=con",synack is higher than clustered baseline; tcprtt is higher than clustered baseline; ackdat is higher than clustered baseline,tcp,-,CON,0,Normal,1.083437,6,2,978,86,6.46092,62,252,1,1,1,0.668894,0.394864,0.27403
265,0.0,"very high traffic rate; unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=nvp, service=-, state=int",state_int is higher than clustered baseline; service_- is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline,nvp,-,INT,1,Analysis,1e-06,2,0,180,0,1000000.003,254,0,8,9,10,0.0,0.0,0.0
267,0.0,"unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=pop3, state=fin",dmean is higher than clustered baseline; dur is higher than clustered baseline; dloss is higher than clustered baseline,tcp,pop3,FIN,1,DoS,3.555648,28,76,1296,77950,28.967996,62,252,1,1,1,0.160809,0.102923,0.057886
278,0.0,"unusually high destination TTL; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=con",state_con is higher than clustered baseline; synack is higher than clustered baseline; stcpb is higher than clustered baseline,tcp,-,CON,0,Normal,0.193769,6,2,986,86,36.125491,62,252,4,4,10,0.171343,0.120903,0.05044
281,0.0,"very high traffic rate; unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=vmtp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,vmtp,-,INT,1,DoS,1e-06,2,0,200,0,1000000.003,254,0,2,2,4,0.0,0.0,0.0
289,0.0,"unusually high source TTL; unusually high destination TTL; abnormally high TCP round-trip timing; slow ACK/data timing. Context: protocol=tcp, service=smtp, state=fin",service_smtp is higher than clustered baseline; ackdat is higher than clustered baseline; tcprtt is higher than clustered baseline,tcp,smtp,FIN,1,Exploits,1.007628,12,10,946,832,20.841025,254,252,1,2,1,0.279805,0.128096,0.151709
290,0.0,"unusually high destination TTL; abnormally high TCP round-trip timing; slow SYN-ACK timing; slow ACK/data timing. Context: protocol=tcp, service=ftp-data, state=fin",tcprtt is higher than clustered baseline; ackdat is higher than clustered baseline; synack is higher than clustered baseline,tcp,ftp-data,FIN,1,Exploits,2.463054,8,8,364,1534,6.090001,62,252,1,3,4,0.628405,0.327668,0.300737
295,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=sep, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,sep,-,INT,1,Exploits,9e-06,2,0,200,0,111111.1072,254,0,1,1,6,0.0,0.0,0.0
300,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=pim, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,pim,-,INT,1,Exploits,6e-06,2,0,200,0,166666.6608,254,0,2,3,8,0.0,0.0,0.0
303,0.0,"unusually long-lived connection; unusually high source TTL; strongly source-heavy packet imbalance; strongly source-heavy byte imbalance. Context: protocol=ospf, service=-, state=req",dur is higher than clustered baseline; pkt_ratio_sd is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline,ospf,-,REQ,1,Reconnaissance,59.49836,74,0,20128,0,1.226925,254,0,1,1,1,0.0,0.0,0.0
307,0.0,"strongly source-heavy byte imbalance. Context: protocol=sun-nd, service=-, state=int",sload is lower than clustered baseline; sttl is lower than clustered baseline; rate is lower than clustered baseline,sun-nd,-,INT,1,Exploits,1e-05,1,0,60,0,0.0,0,0,1,1,2,0.0,0.0,0.0
309,0.0,"unusually high source TTL; unusually high destination TTL; strongly source-heavy byte imbalance. Context: protocol=tcp, service=http, state=fin",smean is higher than clustered baseline; trans_depth is higher than clustered baseline; service_http is higher than clustered baseline,tcp,http,FIN,1,Exploits,0.325071,38,10,40238,440,144.583795,254,252,1,1,1,0.057894,0.009708,0.048186
312,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=compaq-peer, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,compaq-peer,-,INT,1,Exploits,9e-06,2,0,200,0,111111.1072,254,0,1,1,4,0.0,0.0,0.0
317,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=encap, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,encap,-,INT,1,Fuzzers,5e-06,2,0,200,0,200000.0051,254,0,2,2,5,0.0,0.0,0.0
321,0.0,"unusually high source TTL; unusually high destination TTL; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",smean is higher than clustered baseline; sloss is higher than clustered baseline; ackdat is higher than clustered baseline,tcp,-,FIN,0,Normal,1.540286,34,12,34210,526,29.215355,254,252,1,1,2,0.200749,0.095866,0.104883
330,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=vines, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,vines,-,INT,1,DoS,8e-06,2,0,200,0,125000.0003,254,0,2,2,4,0.0,0.0,0.0
331,0.0,"strongly source-heavy byte imbalance. Context: protocol=arp, service=-, state=int",sinpkt is higher than clustered baseline; sload is lower than clustered baseline; sttl is lower than clustered baseline,arp,-,INT,0,Normal,0.0,1,0,46,0,0.0,0,0,1,1,1,0.0,0.0,0.0
338,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=pvp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,pvp,-,INT,1,DoS,9e-06,2,0,200,0,111111.1072,254,0,1,1,4,0.0,0.0,0.0
339,0.0,"strongly source-heavy byte imbalance. Context: protocol=udp, service=dhcp, state=int",sbytes_per_pkt is higher than clustered baseline; smean is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline,udp,dhcp,INT,1,Exploits,5e-06,2,0,1152,0,200000.0051,62,0,4,4,4,0.0,0.0,0.0
340,0.0,"extremely high source-byte volume; unusually high source TTL; unusually high destination TTL; strongly source-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",smean is higher than clustered baseline; sloss is higher than clustered baseline; trans_depth is higher than clustered baseline,tcp,-,FIN,1,Fuzzers,1.029348,60,14,68185,612,70.918678,254,252,1,1,1,0.148203,0.079567,0.068636
343,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=http, state=fin",dur is higher than clustered baseline; sinpkt is higher than clustered baseline; dinpkt is higher than clustered baseline,tcp,http,FIN,0,Normal,19.551943,8,10,1052,824,0.869479,31,29,5,7,1,0.000736,0.000578,0.000158
352,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=ddx, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,ddx,-,INT,1,DoS,9e-06,2,0,200,0,111111.1072,254,0,1,1,4,0.0,0.0,0.0
362,0.0,"extremely high destination-byte volume; very high source packet count; very high destination packet count; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",dloss is higher than clustered baseline; dmean is higher than clustered baseline; spkts is higher than clustered baseline,tcp,-,FIN,0,Normal,2.441126,238,438,13662,548216,276.511729,31,29,2,6,7,0.000571,0.000457,0.000114
366,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=mux, service=-, state=int",pkt_ratio_sd is higher than clustered baseline; sinpkt is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline,mux,-,INT,1,DoS,1.31504,4,0,400,0,2.281299,254,0,3,3,13,0.0,0.0,0.0
369,0.0,"unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",dmean is higher than clustered baseline; dloss is higher than clustered baseline; stcpb is higher than clustered baseline,tcp,-,FIN,1,Exploits,0.912211,24,58,1290,58400,88.795246,62,252,1,1,1,0.059347,0.008499,0.050848
370,0.0,"extremely high destination-byte volume; very high source packet count; very high destination packet count; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",dloss is higher than clustered baseline; dmean is higher than clustered baseline; dur is higher than clustered baseline,tcp,-,FIN,0,Normal,4.440112,226,438,13038,548216,149.320554,31,29,2,5,2,0.000577,0.000456,0.000121
376,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=aris, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,aris,-,INT,1,Exploits,9e-06,2,0,200,0,111111.1072,254,0,2,2,13,0.0,0.0,0.0
377,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=ssh, state=fin",sloss is higher than clustered baseline; dloss is higher than clustered baseline; spkts is higher than clustered baseline,tcp,ssh,FIN,0,Normal,1.529989,108,114,9504,12298,144.445483,31,29,1,5,2,0.001223,0.001105,0.000118
385,0.0,"unusually high source TTL; strongly source-heavy packet imbalance; strongly source-heavy byte imbalance. Context: protocol=ospf, service=-, state=int",pkt_ratio_sd is higher than clustered baseline; byte_ratio_sd is higher than clustered baseline; dur is higher than clustered baseline,ospf,-,INT,1,Reconnaissance,3.231846,82,0,5248,0,25.063075,254,0,1,1,1,0.0,0.0,0.0
386,0.0,"unusually high source TTL; unusually high destination TTL. Context: protocol=tcp, service=-, state=fin",dur is higher than clustered baseline; sinpkt is higher than clustered baseline; dinpkt is higher than clustered baseline,tcp,-,FIN,1,Exploits,37.772816,20,20,1216,1292,1.032489,254,252,2,2,3,0.218944,0.108727,0.110217
401,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=cphb, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,cphb,-,INT,1,Exploits,1e-05,2,0,200,0,100000.0025,254,0,2,2,7,0.0,0.0,0.0
402,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=fire, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,fire,-,INT,1,DoS,3e-06,2,0,200,0,333333.3215,254,0,2,2,5,0.0,0.0,0.0
403,0.0,"unusually high source TTL; unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=http, state=fin",dmean is higher than clustered baseline; dloss is higher than clustered baseline; dur is higher than clustered baseline,tcp,http,FIN,1,Worms,3.56162,46,232,2356,308324,77.773597,254,252,1,1,1,0.174476,0.109683,0.064793
404,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=sctp, service=-, state=int",state_int is higher than clustered baseline; service_- is higher than clustered baseline; dbytes_per_pkt is lower than clustered baseline,sctp,-,INT,1,DoS,5e-06,2,0,78,0,200000.0051,254,0,1,1,1,0.0,0.0,0.0
405,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=wsn, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,wsn,-,INT,1,Exploits,3e-06,2,0,200,0,333333.3215,254,0,2,2,7,0.0,0.0,0.0
406,0.0,"unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=http, state=fin",dmean is higher than clustered baseline; dloss is higher than clustered baseline; trans_depth is higher than clustered baseline,tcp,http,FIN,1,DoS,1.831741,38,206,1990,264888,132.660678,62,252,2,2,2,0.072179,0.01675,0.055429
411,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=any, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,any,-,INT,1,Exploits,9e-06,2,0,200,0,111111.1072,254,0,2,2,4,0.0,0.0,0.0
